block,n,f,b,g,d
1.302555E7,288.0,41.81979886495682,33.75,1.0,0.125
1.3025551E7,309.0,43.47012560393874,37.96875,1.0,0.125
1.3025552E7,320.0,46.104343524862735,42.71484375,1.0,0.125
1.3025553E7,300.0,58.65398023464551,40.36552734375,0.28,0.125
1.3025554E7,317.0,62.46810809925273,38.952733886718754,0.36,0.125
1.3025555E7,276.0,46.048946436459936,43.8218256225586,1.0,0.125
1.3025556E7,310.0,59.55424835393142,42.61672541793824,0.39,0.125
1.3025557E7,309.0,66.10519355864609,39.9531800793171,0.25,0.125
1.3025558E7,296.0,53.96273238117336,38.35505287614441,0.34,0.125
1.3025559E7,306.0,46.61105930273619,43.14943448566247,1.0,0.125
1.302556E7,323.0,55.4161986175696,41.531330692450126,0.35,0.125
1.3025561E7,294.0,52.84048131074711,39.247107504365374,0.28,0.125
1.3025562E7,299.0,56.16989135798138,38.16781204799533,0.39,0.125
1.3025563E7,274.0,44.57616108718713,42.93878855399474,1.0,0.125
1.3025564E7,282.0,55.002809956143885,40.89919609767999,0.31,0.125
1.3025565E7,286.0,54.51437367316657,38.751988302551794,0.29,0.125
1.3025566E7,321.0,50.950980561173424,37.58942865347524,0.38,0.125
1.3025567E7,326.0,44.87236198852575,42.28810723515964,1.0,0.125
1.3025568E7,324.0,54.196802695521086,40.27942214148956,0.31,0.125
1.3025569E7,271.0,54.82735816781526,39.071039477244874,0.38,0.125
1.302557E7,277.0,53.35575091619741,36.824454707303296,0.27,0.125
1.3025571E7,261.0,45.556265762537436,41.42751154571621,1.0,0.125
1.3025572E7,290.0,54.83997083903267,39.97754864161614,0.36,0.125
1.3025573E7,306.0,52.99145282692201,39.07805379717978,0.41,0.125
1.3025574E7,295.0,53.59803281960425,37.80801704877143,0.37,0.125
1.3025575E7,282.0,44.85975606971481,42.53401917986786,1.0,0.125
1.3025576E7,336.0,56.014955951371746,40.83265841267315,0.34,0.125
1.3025577E7,262.0,55.522233175887656,39.607678660292954,0.38,0.125
1.3025578E7,296.0,56.70866290436516,37.92435231723051,0.33,0.125
1.3025579E7,261.0,43.44138368170531,42.66489635688432,1.0,0.125
1.302558E7,304.0,53.58338532301478,40.42498929814789,0.29,0.125
1.3025581E7,298.0,53.903178023547056,38.20161488674976,0.28,0.125
1.3025582E7,311.0,43.780309996718216,42.97681674759348,1.0,0.125
1.3025583E7,328.0,57.273521395186215,40.39820774273787,0.26,0.125
1.3025584E7,302.0,58.829000453408625,38.27730183624413,0.29,0.125
1.3025585E7,302.0,46.58162440481634,43.061964565774645,1.0,0.125
1.3025586E7,308.0,58.25655866507195,42.631344920116895,0.46,0.125
1.3025587E7,282.0,53.23531520988287,41.67213965941426,0.41,0.125
1.3025588E7,299.0,71.52090320696624,39.692713025592084,0.31,0.125
1.3025589E7,307.0,61.13964304383188,37.90654093944044,0.32,0.125
1.302559E7,292.0,44.02212336492103,42.644858556870496,1.0,0.125
1.3025591E7,297.0,67.54610414073072,41.79196138573308,0.42,0.125
1.3025592E7,267.0,55.29167687594499,40.32924273723242,0.36,0.125
1.3025593E7,321.0,54.51058533619796,38.8168961345862,0.35,0.125
1.3025594E7,343.0,61.605130588188345,36.973093568193356,0.31,0.125
1.3025595E7,292.0,43.68847689921325,41.594730264217525,1.0,0.125
1.3025596E7,300.0,54.60870957741192,39.82695422798828,0.33,0.125
