block,n,f,b,g,d
1.302555E7,273.0,43.35652103071617,33.5625,1.0,0.11875
1.3025551E7,293.0,45.63769521557596,38.387109375,1.0,0.14375
1.3025552E7,290.0,46.0556194626891,44.86493408203125,1.0,0.16874999999999998
1.3025553E7,311.0,71.98866455373383,42.778714647216795,0.38,0.19374999999999998
1.3025554E7,289.0,61.35181260533584,39.2227339921669,0.31,0.21874999999999997
1.3025555E7,346.0,48.73602511928553,44.92841607758993,0.85,0.20781249999999996
1.3025556E7,289.0,105.0222010888435,43.882426390783536,0.45,0.23281249999999995
1.3025557E7,335.0,56.41236197031236,43.882426390783536,0.5,0.22117187499999993
1.3025558E7,298.0,52.5642221271669,41.85396465918413,0.39,0.21011328124999992
1.3025559E7,307.0,64.55761038505035,39.18056620943386,0.34,0.19960761718749992
1.302556E7,326.0,54.00218581866749,39.329160259195184,0.51,0.18962723632812492
1.3025561E7,273.0,52.83333756161951,38.337262223576595,0.43,0.18014587451171868
1.3025562E7,295.0,48.73025431705536,44.898246871745314,1.0,0.17113858078613273
1.3025563E7,323.0,56.66849421341571,41.97839441696726,0.3,0.1625816517468261
1.3025564E7,297.0,54.871379302100614,39.773946322224404,0.33,0.15445256915948477
1.3025565E7,300.0,55.239851540537344,38.13985826233339,0.36,0.14672994070151052
1.3025566E7,306.0,48.75341446716678,43.45630444646978,1.0,0.139393443666435
1.3025567E7,324.0,53.339702178187814,41.26953830925221,0.31,0.13242377148311324
1.3025568E7,305.0,54.51384427186263,38.56979476157488,0.24,0.12580258290895757
1.3025569E7,284.0,65.57198369714172,37.27911493390387,0.36,0.11951245376350969
1.302557E7,286.0,52.01992753393986,41.511667508792485,1.0,0.1135368310753342
1.3025571E7,305.0,53.63689575381424,41.063922706540374,0.45,0.10785998952156749
1.3025572E7,323.0,59.74558924808788,40.81146091298839,0.47,0.1024669900454891
1.3025573E7,291.0,59.99550607469196,40.1758231240032,0.42,0.09734364054321465
1.3025574E7,315.0,61.53919727536275,38.68969598781312,0.3,0.0924764585160539
1.3025575E7,309.0,54.99553646822674,40.52515153967919,0.77,0.08785263559025121
1.3025576E7,320.0,92.04828824034102,39.23990440494489,0.31,0.08346000381073865
1.3025577E7,285.0,64.17085255130681,38.555437227570415,0.39,0.07928700362020172
1.3025578E7,315.0,47.839919837255394,41.4595350640592,1.0,0.07532265343919163
1.3025579E7,344.0,51.82716949487927,40.510191037879636,0.34,0.07155652076723204
1.302558E7,292.0,54.967473839541036,39.133276082893516,0.25,0.06797869472887043
1.3025581E7,276.0,61.393970662801586,38.42565516129134,0.36,0.0645797599924269
1.3025582E7,320.0,49.02423861537949,40.78309876976589,1.0,0.06135077199280556
1.3025583E7,295.0,89.34056338080842,40.16508634510125,0.37,0.058283233393165275
1.3025584E7,293.0,83.20875572704529,39.3200029973846,0.31,0.05536907172350701
1.3025585E7,293.0,336.41205374856617,38.5754306707679,0.32,0.052600618137331655
1.3025586E7,300.0,44.424788377239864,40.503067594054265,1.0,0.04997058723046507
1.3025587E7,342.0,54.30437471940081,39.618596168454744,0.27,0.04747205786894181
1.3025588E7,277.0,59.04412492320028,39.082574925806135,0.35,0.04509845497549472
1.3025589E7,333.0,56.87745910146278,39.049086214639395,0.49,0.04284353222671999
1.302559E7,315.0,54.85708281646159,38.76300308063339,0.41,0.04070135561538399
1.3025591E7,289.0,46.78141130186961,39.27260236834633,0.67,0.03866628783461479
