block,n,f,b,g,d
1.302555E7,285.0,48.96130976094387,37.5,1.0,0.25
1.3025551E7,324.0,44.561748771322826,46.875,1.0,0.25
1.3025552E7,319.0,83.32328265339017,43.359375,0.35,0.25
1.3025553E7,282.0,75.83331658683795,40.541015625,0.37,0.25
1.3025554E7,309.0,66.28186805057925,36.89232421875,0.32,0.25
1.3025555E7,294.0,43.05985744245936,46.115405273437496,1.0,0.25
1.3025556E7,302.0,66.33047262898594,41.042710693359375,0.28,0.25
1.3025557E7,302.0,58.26193676846514,37.348866730957035,0.32,0.25
1.3025558E7,315.0,45.13242954990903,46.686083413696295,1.0,0.25
1.3025559E7,323.0,53.2806739892405,41.784044655258185,0.29,0.25
1.302556E7,303.0,55.1363774476696,39.48592219921899,0.39,0.25
1.3025561E7,297.0,60.18925354800086,37.51162608925804,0.4,0.25
1.3025562E7,303.0,46.32088745278344,46.88953261157255,1.0,0.25
1.3025563E7,320.0,66.24147480581563,43.607265328762466,0.36,0.25
1.3025564E7,250.0,59.63643806121449,39.90064777581766,0.33,0.25
1.3025565E7,306.0,51.91177050682109,34.314557087203184,0.22,0.25
1.3025566E7,309.0,45.520542647544374,42.89319635900398,1.0,0.25
1.3025567E7,307.0,57.29004881968128,38.60387672310358,0.3,0.25
1.3025568E7,286.0,54.074893858496964,41.49916747733635,0.65,0.25
1.3025569E7,296.0,62.69842283317119,39.216713266082856,0.39,0.25
1.302557E7,304.0,271.6901288137649,36.86371047011788,0.38,0.25
1.3025571E7,296.0,121.50661592403134,46.07963808764735,1.0,0.25
1.3025572E7,312.0,153.7771389247503,40.31968332669143,0.25,0.25
1.3025573E7,275.0,56.52778485921164,36.892510243922665,0.33,0.25
1.3025574E7,324.0,44.84803318393024,46.11563780490333,1.0,0.25
1.3025575E7,284.0,64.31046218448422,43.348699536609125,0.38,0.25
1.3025576E7,282.0,58.709184693689025,39.23057308063126,0.31,0.25
1.3025577E7,306.0,57.5943209091158,35.30751577256814,0.3,0.25
1.3025578E7,317.0,44.49918694214196,44.13439471571017,1.0,0.25
1.3025579E7,326.0,59.848478160498566,41.04498708561046,0.36,0.25
1.302558E7,285.0,60.03983210817311,38.17183798961772,0.36,0.25
1.3025581E7,310.0,48.73106180343215,47.71479748702215,1.0,0.25
1.3025582E7,289.0,73.94425743168813,44.61333565036571,0.37,0.25
1.3025583E7,269.0,57.87879025324896,40.152002085329144,0.3,0.25
1.3025584E7,263.0,58.69489702467572,35.73528185594294,0.28,0.25
1.3025585E7,312.0,46.892767896560024,44.66910231992867,1.0,0.25
1.3025586E7,291.0,60.4881273889368,41.09557413433438,0.34,0.25
1.3025587E7,301.0,59.6243094254055,38.629839686274316,0.38,0.25
1.3025588E7,287.0,44.014806517504375,48.2872996078429,1.0,0.25
1.3025589E7,299.0,55.0245070074649,42.00995065882332,0.24,0.25
1.302559E7,289.0,56.009318897642146,37.598905839646875,0.29,0.25
1.3025591E7,304.0,44.7717703506944,46.998632299558594,1.0,0.25
1.3025592E7,294.0,58.90672418324538,42.76875539259832,0.32,0.25
1.3025593E7,326.0,55.33687844825841,40.41647384600542,0.39,0.25
1.3025594E7,331.0,56.12191614919979,37.58732067678503,0.36,0.25
1.3025595E7,266.0,44.78045339230849,46.98415084598129,1.0,0.25
1.3025596E7,292.0,55.766712788346105,46.514309337521475,0.48,0.25
1.3025597E7,302.0,53.795324248243325,42.56059304383215,0.33,0.25
1.3025598E7,292.0,60.88209594069562,38.091730774229774,0.29,0.25
1.3025599E7,311.0,45.08695805900032,47.61466346778722,1.0,0.25
1.30256E7,296.0,58.50780833986136,43.32934375568637,0.32,0.25
1.3025601E7,302.0,54.838142834753505,40.07964297400989,0.35,0.25
1.3025602E7,265.0,53.160696015312524,35.069687602258654,0.25,0.25
1.3025603E7,334.0,44.36169933683556,43.83710950282332,1.0,0.25
1.3025604E7,314.0,57.753730980037446,40.9876973851398,0.37,0.25
1.3025605E7,304.0,52.30442946429373,36.06917369892303,0.26,0.25
1.3025606E7,283.0,42.184350346777734,45.08646712365379,1.0,0.25
1.3025607E7,298.0,55.548232705088715,39.67609106881534,0.26,0.25
1.3025608E7,292.0,53.62226058265469,35.113340595901576,0.27,0.25
1.3025609E7,301.0,45.80671678720404,43.89167574487697,1.0,0.25
1.302561E7,291.0,55.82130323869308,42.57492547253066,0.44,0.25
1.3025611E7,320.0,55.90570625941791,40.233304571541474,0.39,0.25
1.3025612E7,305.0,58.4810492866397,36.612307160102745,0.32,0.25
1.3025613E7,308.0,47.012027638545234,45.76538395012843,1.0,0.25
1.3025614E7,284.0,55.89484021137279,43.93476859212329,0.42,0.25
1.3025615E7,312.0,57.45730376416161,40.41998710475343,0.34,0.25
1.3025616E7,292.0,79.2644949547126,41.43048678237226,0.55,0.25
1.3025617E7,323.0,60.51979875218302,37.4945905380469,0.31,0.25
1.3025618E7,318.0,46.6830777239408,46.86823817255863,1.0,0.25
1.3025619E7,317.0,57.604827131017565,44.056143882205106,0.38,0.25
1.302562E7,305.0,59.54152546671164,41.4127752492728,0.38,0.25
1.3025621E7,289.0,67.61361347858296,39.96332811554825,0.43,0.25
1.3025622E7,312.0,45.721098335212616,49.95416014443531,1.0,0.25
1.3025623E7,290.0,57.009058146634175,44.958744129991786,0.3,0.25
1.3025624E7,285.0,60.24637483769184,42.48601320284224,0.39,0.25
1.3025625E7,262.0,58.65120570533356,40.14928247668592,0.39,0.25
1.3025626E7,271.0,48.320490599877196,50.1866030958574,1.0,0.25
1.3025627E7,307.0,68.05928423448192,45.66980881723023,0.32,0.25
1.3025628E7,323.0,60.37604998107793,41.78787506776567,0.33,0.25
1.3025629E7,285.0,51.97905257571019,52.234843834707085,1.0,0.25
1.302563E7,323.0,61.83503804548957,48.578404766277586,0.36,0.25
1.3025631E7,261.0,59.13828848156502,44.93502440880677,0.35,0.25
1.3025632E7,303.0,63.65860638037319,39.54282147974995,0.26,0.25
1.3025633E7,320.0,46.952651072466864,49.428526849687444,1.0,0.25
1.3025634E7,281.0,58.11437480948801,43.74424626197339,0.27,0.25
1.3025635E7,328.0,60.74386314176128,39.151100404466185,0.29,0.25
1.3025636E7,277.0,48.90761001491922,48.93887550558273,1.0,0.25
1.3025637E7,278.0,60.90760692643373,42.82151606738489,0.25,0.25
1.3025638E7,302.0,60.80860045122073,40.89454784435257,0.41,0.25
