block,n,f,b,g,d
1.302555E7,284.0,44.11581397794374,31.875,1.0,0.0625
1.3025551E7,320.0,45.77996897490808,33.8671875,1.0,0.0625
1.3025552E7,318.0,44.093689575689986,35.98388671875,1.0,0.0625
1.3025553E7,297.0,47.98413633642856,38.232879638671875,1.0,0.0625
1.3025554E7,303.0,48.040949370012925,40.62243461608887,1.0,0.0625
1.3025555E7,302.0,55.920436251248276,39.75920788049698,0.33,0.0625
1.3025556E7,308.0,60.35319580806478,38.91432471303642,0.33,0.0625
1.3025557E7,298.0,46.578955880767104,41.24918419581861,0.98,0.0625
1.3025558E7,312.0,71.3623179713882,40.57888495263656,0.37,0.0625
1.3025559E7,331.0,58.69346932754272,39.97020167834701,0.38,0.0625
1.302556E7,308.0,59.172720289467215,39.27072314897594,0.36,0.0625
1.3025561E7,296.0,60.40755660568771,38.63257389780508,0.37,0.0625
1.3025562E7,301.0,43.98516555066317,41.0471097664179,1.0,0.0625
1.3025563E7,303.0,53.44651056934555,40.22616757108954,0.34,0.0625
1.3025564E7,303.0,54.19089257155414,39.72334047645092,0.4,0.0625
1.3025565E7,291.0,53.96659493001722,39.22679872049529,0.4,0.0625
1.3025566E7,280.0,57.31368955548871,38.29516225088352,0.31,0.0625
1.3025567E7,255.0,48.56964245847381,38.1036864396291,0.46,0.0625
1.3025568E7,303.0,48.398123490266116,40.48516684210592,1.0,0.0625
1.3025569E7,296.0,58.05199822968814,39.47303767105327,0.3,0.0625
1.302557E7,301.0,56.194993752812906,38.634235620543386,0.33,0.0625
1.3025571E7,280.0,49.97863156522174,38.58594282601771,0.49,0.0625
1.3025572E7,319.0,46.41289205542579,40.85286696704625,0.97,0.0625
1.3025573E7,299.0,51.41377600121322,39.67834704174367,0.27,0.0625
1.3025574E7,295.0,57.94039202058993,38.388800762887,0.24,0.0625
1.3025575E7,278.0,47.97342419270334,40.78810081056744,1.0,0.0625
1.3025576E7,281.0,58.84398879599186,39.87036854232968,0.32,0.0625
1.3025577E7,320.0,57.04669713887506,39.17263709283891,0.36,0.0625
1.3025578E7,308.0,50.03595079047054,38.87884231464262,0.44,0.0625
1.3025579E7,309.0,46.02074909872474,40.1424046898685,0.76,0.0625
1.302558E7,332.0,56.40831375584475,39.28937859020879,0.33,0.0625
1.3025581E7,335.0,58.30859005451827,38.20892067897805,0.28,0.0625
1.3025582E7,281.0,46.598359634341385,40.59697822141418,1.0,0.0625
1.3025583E7,315.0,52.82390567291762,39.73429243420913,0.33,0.0625
1.3025584E7,303.0,60.590155691595704,38.840270854439424,0.32,0.0625
1.3025585E7,291.0,48.59792882878004,39.76272728723236,0.69,0.0625
1.3025586E7,265.0,60.92299526487426,38.81836251416059,0.31,0.0625
1.3025587E7,315.0,44.47086265778214,41.14746426501023,0.98,0.0625
1.3025588E7,311.0,55.150937294153046,40.2216463190475,0.32,0.0625
1.3025589E7,295.0,56.25425576659916,39.71887574005941,0.4,0.0625
1.302559E7,307.0,63.81998447158116,39.07344400928344,0.37,0.0625
1.3025591E7,291.0,56.5337311850281,38.48734234914419,0.38,0.0625
1.3025592E7,317.0,45.253200796167896,40.60414617834712,0.94,0.0625
1.3025593E7,290.0,67.03393869008784,39.18300106210497,0.22,0.0625
1.3025594E7,305.0,55.42837850268166,38.35036228953524,0.33,0.0625
1.3025595E7,307.0,44.95558468091073,40.747259932631195,1.0,0.0625
1.3025596E7,301.0,58.083996787080785,39.830446584147,0.32,0.0625
1.3025597E7,291.0,55.53475413210114,39.681082409456444,0.47,0.0625
1.3025598E7,319.0,56.414551437808036,39.482676997409165,0.46,0.0625
1.3025599E7,277.0,55.19591084094688,38.5449634187207,0.31,0.0625
1.30256E7,289.0,43.98708432740222,40.664936406750336,0.94,0.0625
1.3025601E7,304.0,55.747666520132235,39.74997533759846,0.32,0.0625
1.3025602E7,308.0,53.950349244579584,39.253100645878476,0.4,0.0625
1.3025603E7,332.0,56.992493603600444,38.958702391034386,0.44,0.0625
1.3025604E7,308.0,80.1265559183352,38.03343320924732,0.31,0.0625
1.3025605E7,295.0,44.4452018250568,40.410522784825275,1.0,0.0625
1.3025606E7,284.0,60.61827290993046,39.50128602216671,0.32,0.0625
1.3025607E7,287.0,73.11430500446804,38.908766731834206,0.38,0.0625
1.3025608E7,318.0,63.145492769988536,38.325135230856695,0.38,0.0625
1.3025609E7,274.0,45.68298791399944,40.72045618278524,1.0,0.0625
1.302561E7,331.0,55.42199337240333,40.46595333164284,0.45,0.0625
1.3025611E7,295.0,58.53595159097121,39.80838159000364,0.37,0.0625
1.3025612E7,328.0,51.28142564966439,40.505028267828706,0.64,0.0625
1.3025613E7,278.0,60.59635995291292,39.99871541448085,0.4,0.0625
1.3025614E7,301.0,50.98042925909333,39.64872665460414,0.43,0.0625
1.3025615E7,305.0,44.60961398414679,42.1267720705169,1.0,0.0625
1.3025616E7,251.0,56.185339059578745,41.07360276875398,0.3,0.0625
1.3025617E7,300.0,58.632779151166915,40.2521307133789,0.34,0.0625
1.3025618E7,315.0,52.59710433277697,42.767888882965075,1.0,0.0625
1.3025619E7,301.0,69.26914090575274,41.591771938683536,0.28,0.0625
1.302562E7,294.0,86.43200918173433,40.44799821036974,0.28,0.0625
1.3025621E7,302.0,50.36259097641392,42.97599809851785,1.0,0.0625
1.3025622E7,279.0,63.36244939742971,42.0090381413012,0.32,0.0625
1.3025623E7,294.0,57.74223174797211,40.90630089009204,0.29,0.0625
1.3025624E7,288.0,46.24805135421375,43.4629446957228,1.0,0.0625
1.3025625E7,284.0,65.0909251242826,42.21338503572076,0.27,0.0625
1.3025626E7,313.0,55.8961569430305,42.371685229604715,0.53,0.0625
1.3025627E7,298.0,51.12397623986009,43.21911893419681,0.66,0.0625
1.3025628E7,309.0,62.71840323689208,42.13864096084188,0.3,0.0625
1.3025629E7,279.0,48.81954249752337,44.772306020894504,1.0,0.0625
1.302563E7,290.0,59.91896723282365,43.708963752898256,0.31,0.0625
1.3025631E7,311.0,57.981831266003134,43.21723791067815,0.41,0.0625
1.3025632E7,296.0,56.90972396937986,42.136806962911194,0.3,0.0625
1.3025633E7,312.0,50.51648436280944,44.77035739809315,1.0,0.0625
1.3025634E7,302.0,71.74763123253823,44.322653824112216,0.42,0.0625
