block,n,f,b,g,d
1.3026E7,309.0,40.28268514548599,33.75,1.0,0.125
1.3026001E7,299.0,40.08082558291289,37.96875,1.0,0.125
1.3026002E7,283.0,54.407880916079435,35.880468750000006,0.28,0.125
1.3026003E7,310.0,42.93564311132357,40.36552734375,1.0,0.125
1.3026004E7,296.0,50.758092475043064,38.44816479492188,0.31,0.125
1.3026005E7,294.0,54.88074292538869,36.42963614318848,0.29,0.125
1.3026006E7,297.0,43.186988473007176,40.98334066108704,1.0,0.125
1.3026007E7,285.0,55.44238168899763,39.03663197968541,0.31,0.125
1.3026008E7,307.0,54.7573892931468,36.30406774110743,0.22,0.125
1.3026009E7,262.0,40.63926740908139,40.84207620874586,1.0,0.125
1.302601E7,309.0,59.00921479882219,38.79997239830856,0.3,0.125
1.3026011E7,300.0,53.226871821582755,37.44197336436776,0.36,0.125
1.3026012E7,266.0,43.815050003903686,40.5309361669281,0.83,0.125
1.3026013E7,331.0,78.29950022994346,39.61899010317222,0.41,0.125
1.3026014E7,311.0,52.47626627071641,38.52946787533499,0.39,0.125
1.3026015E7,304.0,66.24336353712889,36.79564182094491,0.32,0.125
1.3026016E7,315.0,44.86442913197669,41.395097048563024,1.0,0.125
1.3026017E7,302.0,53.32537109240108,39.42882993875628,0.31,0.125
1.3026018E7,311.0,60.966747601018206,37.457388441818466,0.3,0.125
1.3026019E7,289.0,46.3621086035674,41.29677075710486,0.91,0.125
1.302602E7,320.0,52.84247524360609,39.74814185371343,0.35,0.125
1.3026021E7,272.0,52.35132607059736,37.661364406393474,0.29,0.125
1.3026022E7,300.0,43.55788494721595,39.8268928597611,0.73,0.125
1.3026023E7,306.0,58.79931016217159,37.735980984623644,0.29,0.125
1.3026024E7,312.0,45.246174754121455,42.4529786077016,1.0,0.125
1.3026025E7,314.0,57.77404962897166,41.28552169598981,0.39,0.125
1.3026026E7,305.0,61.12099946516129,40.150169849350085,0.39,0.125
1.3026027E7,320.0,60.79590065135254,38.24303678150596,0.31,0.125
1.3026028E7,308.0,63.79640310781195,38.62546714932102,0.54,0.125
1.3026029E7,330.0,81.4955327113845,37.46670313484139,0.38,0.125
1.302603E7,328.0,43.93665794983047,42.15004102669656,1.0,0.125
1.3026031E7,282.0,55.447904538477154,40.56941448819544,0.35,0.125
1.3026032E7,299.0,55.31482867768865,38.84521437244714,0.33,0.125
