block,n,f,b,g,d
1.3026E7,320.0,39.748723939252876,33.5625,1.0,0.11875
1.3026001E7,328.0,42.42004756631006,38.387109375,1.0,0.14375
1.3026002E7,288.0,52.04802583487058,36.18464897460938,0.33,0.16874999999999998
1.3026003E7,290.0,43.14434910834707,41.372623021344005,0.87,0.19374999999999998
1.3026004E7,329.0,53.950154892437446,39.924581215596966,0.42,0.21874999999999997
1.3026005E7,301.0,51.798424362221645,38.09927926814639,0.39,0.20781249999999996
1.3026006E7,266.0,53.52431537282405,36.14365516933721,0.37,0.19742187499999994
1.3026007E7,275.0,42.3616291915247,42.922425933576996,1.0,0.18755078124999994
1.3026008E7,275.0,57.32307141278032,41.08699526370381,0.38,0.17817324218749994
1.3026009E7,310.0,58.05951339130652,37.88789168371175,0.27,0.16926458007812495
1.302601E7,315.0,57.91643279509308,35.57277049831584,0.31,0.1608013510742187
1.3026011E7,309.0,43.309032712113904,41.00691257801902,1.0,0.15276128352050775
1.3026012E7,288.0,57.34414198099494,40.53082816452303,0.46,0.14512321934448236
1.3026013E7,266.0,56.13349096706268,39.301497632942905,0.39,0.13786705837725824
1.3026014E7,332.0,89.94270157802082,37.5513602894256,0.33,0.13097370545839532
1.3026015E7,299.0,54.606320359101254,38.953058918026755,0.65,0.12442502018547555
1.3026016E7,312.0,67.94604555048487,37.111299564005385,0.3,0.11820376917620176
1.3026017E7,305.0,46.217325084710346,41.27866027712333,1.0,0.11229358071739166
1.3026018E7,295.0,67.86872789000265,39.25302169214916,0.27,0.10667890168152208
1.3026019E7,315.0,55.921246687081904,38.05959295823632,0.35,0.10134495659744597
1.302602E7,288.0,62.921478697291086,37.1068774525085,0.37,0.09627770876757366
1.3026021E7,301.0,43.57399317496456,40.50081433612282,1.0,0.09146382332919498
1.3026022E7,326.0,51.72447769429015,38.811626482952605,0.26,0.08689063216273522
1.3026023E7,286.0,54.82232298632893,38.10680183003576,0.39,0.08254610055459846
1.3026024E7,284.0,48.25360696670694,37.807972879946504,0.45,0.07841879552686853
