block,n,f,b,g,d
1.3026E7,294.0,41.435907890178086,37.5,1.0,0.25
1.3026001E7,290.0,52.33853618677984,35.25,0.38,0.25
1.3026002E7,276.0,43.72538761029469,44.0625,1.0,0.25
1.3026003E7,282.0,51.12135636871112,41.418749999999996,0.38,0.25
1.3026004E7,321.0,53.30115970766009,36.24140625,0.25,0.25
1.3026005E7,273.0,43.864353972314255,41.315203125000004,0.78,0.25
1.3026006E7,272.0,57.62223259900391,39.04286695312501,0.39,0.25
1.3026007E7,300.0,56.708234793291105,33.96729424921875,0.24,0.25
1.3026008E7,347.0,43.12959801910338,42.45911781152344,1.0,0.25
1.3026009E7,260.0,54.126740607118684,39.06238838660157,0.34,0.25
1.302601E7,310.0,56.56258775652428,34.57021372214239,0.27,0.25
1.3026011E7,263.0,44.0535288804856,43.21276715267799,1.0,0.25
1.3026012E7,308.0,64.91335240328448,38.027235094356634,0.26,0.25
1.3026013E7,276.0,58.063929973320484,33.65410305850562,0.27,0.25
1.3026014E7,274.0,43.912889141090226,42.067628823132026,1.0,0.25
1.3026015E7,332.0,58.21609275650571,37.440189652587506,0.28,0.25
1.3026016E7,293.0,42.27247009253484,46.80023706573438,1.0,0.25
1.3026017E7,314.0,52.07478106820056,43.75822165646165,0.37,0.25
1.3026018E7,283.0,55.37897283828579,38.944817274250866,0.28,0.25
1.3026019E7,318.0,57.58012754340336,36.80285232416707,0.39,0.25
1.302602E7,310.0,42.17141930465024,46.00356540520884,1.0,0.25
1.3026021E7,315.0,52.32705922608277,41.403208864687954,0.3,0.25
1.3026022E7,284.0,52.86676251823213,36.84885588957228,0.28,0.25
1.3026023E7,298.0,42.76706839439944,46.06106986196535,1.0,0.25
1.3026024E7,306.0,52.77296598107834,43.75801636886708,0.4,0.25
1.3026025E7,305.0,51.76657144048351,39.60100481382471,0.31,0.25
1.3026026E7,317.0,52.10669194941406,35.04688926023487,0.27,0.25
1.3026027E7,328.0,43.736984286112886,43.80861157529359,1.0,0.25
1.3026028E7,305.0,60.586894379149406,42.27531017015831,0.43,0.25
1.3026029E7,305.0,64.7971958988166,39.10466190739644,0.35,0.25
1.302603E7,316.0,53.25434233889819,34.0210558594349,0.24,0.25
1.3026031E7,320.0,45.115937877970744,42.52631982429363,1.0,0.25
1.3026032E7,286.0,56.951475975744984,39.54947743659307,0.36,0.25
1.3026033E7,302.0,64.18711010238943,36.781014016031556,0.36,0.25
1.3026034E7,300.0,47.463660047446986,45.97626752003944,1.0,0.25
1.3026035E7,316.0,56.96725813551339,40.229234080034516,0.25,0.25
1.3026036E7,292.0,63.237167344048466,37.21204152403193,0.35,0.25
1.3026037E7,299.0,45.2531350052544,46.51505190503991,1.0,0.25
1.3026038E7,292.0,60.79676744317256,42.79384775263672,0.34,0.25
1.3026039E7,289.0,59.31669555773496,41.08209384253125,0.42,0.25
1.302604E7,318.0,60.00964239249296,39.233399619617344,0.41,0.25
1.3026041E7,328.0,56.28836965373887,35.310059657655614,0.3,0.25
