block,n,f,b,g,d
1.3026E7,323.0,40.45873977342593,31.875,1.0,0.0625
1.3026001E7,284.0,42.76988564032077,33.8671875,1.0,0.0625
1.3026002E7,299.0,49.44499904185074,35.98388671875,1.0,0.0625
1.3026003E7,282.0,45.568324458215486,38.232879638671875,1.0,0.0625
1.3026004E7,323.0,62.21595399430899,37.659386444091794,0.38,0.0625
1.3026005E7,304.0,55.34969158109193,37.42401527881622,0.45,0.0625
1.3026006E7,304.0,42.433177419779625,39.575896157348154,0.96,0.0625
1.3026007E7,266.0,54.2817025874227,38.68543849380782,0.32,0.0625
1.3026008E7,278.0,56.12674258633667,37.76665932957989,0.31,0.0625
1.3026009E7,328.0,67.22670506537966,37.01132614298829,0.34,0.0625
1.302601E7,291.0,48.9485681875004,39.32453402692506,1.0,0.0625
1.3026011E7,332.0,53.55220248876512,38.68551034898753,0.37,0.0625
1.3026012E7,295.0,62.33529692439896,37.96015702994401,0.35,0.0625
1.3026013E7,303.0,56.67323931757023,36.72645192647083,0.24,0.0625
1.3026014E7,344.0,47.203159850482436,39.02185517187526,1.0,0.0625
1.3026015E7,327.0,51.402764785965815,38.2901953874026,0.35,0.0625
1.3026016E7,303.0,53.91438382421393,36.99790129307776,0.23,0.0625
1.3026017E7,295.0,43.67094831578592,39.31027012389512,1.0,0.0625
1.3026018E7,292.0,53.586923840635954,38.376651208452614,0.31,0.0625
1.3026019E7,282.0,52.638260097218414,37.2733224862096,0.27,0.0625
1.302602E7,304.0,42.14799416570091,39.6029051415977,1.0,0.0625
1.3026021E7,302.0,57.657479461489565,38.860350670192744,0.35,0.0625
1.3026022E7,328.0,53.44744180301838,38.423171725153075,0.41,0.0625
1.3026023E7,294.0,53.85582914099516,37.94288207858867,0.4,0.0625
1.3026024E7,290.0,46.92531957758993,39.22345434874103,0.77,0.0625
1.3026025E7,300.0,55.46607658080868,38.38995594383028,0.33,0.0625
1.3026026E7,307.0,53.92338783071188,37.62215682495368,0.34,0.0625
1.3026027E7,310.0,41.15857958476424,39.97354162651328,1.0,0.0625
1.3026028E7,290.0,56.223429923750814,39.32397157508244,0.37,0.0625
1.3026029E7,314.0,53.79581906874907,38.34087228570538,0.3,0.0625
1.302603E7,285.0,51.285835717397234,37.7657592014198,0.38,0.0625
1.3026031E7,288.0,45.604673916769435,40.12611915150853,1.0,0.0625
1.3026032E7,319.0,56.90534411557173,39.27343911953898,0.33,0.0625
1.3026033E7,327.0,55.70335788658636,39.22434732063955,0.49,0.0625
1.3026034E7,286.0,51.77846614278772,38.48889080837756,0.35,0.0625
1.3026035E7,320.0,53.10206472506468,38.055890786783316,0.41,0.0625
1.3026036E7,273.0,54.9467417669749,37.53262228846504,0.39,0.0625
1.3026037E7,307.0,45.169774394559916,39.22159029144596,0.86,0.0625
1.3026038E7,272.0,55.453837388195595,38.29007752202412,0.31,0.0625
1.3026039E7,307.0,61.89919533350394,37.6200011653887,0.36,0.0625
1.302604E7,301.0,45.156216054240446,38.41942619015321,0.67,0.0625
1.3026041E7,276.0,71.00704708593393,37.79511051456322,0.37,0.0625
1.3026042E7,299.0,73.21352751089002,37.180939968701566,0.37,0.0625
1.3026043E7,287.0,43.90418114667463,39.50474871674541,1.0,0.0625
1.3026044E7,270.0,55.7225800835498,38.517129998826775,0.3,0.0625
1.3026045E7,289.0,56.01839853426708,37.74678739885024,0.34,0.0625
1.3026046E7,320.0,59.05308262237006,37.463686493358864,0.44,0.0625
1.3026047E7,309.0,53.98595694825436,36.99539041219188,0.4,0.0625
1.3026048E7,329.0,47.6846701370555,39.307602312953875,1.0,0.0625
1.3026049E7,333.0,59.254095834913244,38.91452628982434,0.42,0.0625
1.302605E7,293.0,52.59911285161134,37.941663132578725,0.3,0.0625
1.3026051E7,277.0,53.291980698297444,37.087975712095705,0.32,0.0625
1.3026052E7,338.0,45.603296702496365,39.40597419410169,1.0,0.0625
1.3026053E7,275.0,58.73253942947464,38.814884581190164,0.38,0.0625
1.3026054E7,322.0,56.245245510322476,38.13562410101934,0.36,0.0625
1.3026055E7,280.0,56.56582701895323,37.468250679251504,0.36,0.0625
1.3026056E7,283.0,55.486936791381105,36.71888566566648,0.34,0.0625
1.3026057E7,300.0,42.58713053878947,39.01381601977063,1.0,0.0625
1.3026058E7,298.0,53.061732649222165,38.08723788930108,0.31,0.0625
1.3026059E7,315.0,73.35492675297446,37.087447894706926,0.29,0.0625
1.302606E7,298.0,55.336412186442,37.87555616246945,0.67,0.0625
1.3026061E7,317.0,61.36658997948837,37.59148949125093,0.44,0.0625
1.3026062E7,296.0,54.85632702575277,36.698691615833724,0.31,0.0625
1.3026063E7,317.0,42.33533505607647,38.99235984182333,1.0,0.0625
1.3026064E7,271.0,50.81147619947775,38.1150317453823,0.32,0.0625
1.3026065E7,266.0,56.310691764318676,37.590950058883294,0.39,0.0625
1.3026066E7,303.0,55.90484484320652,36.36924418196959,0.24,0.0625
1.3026067E7,258.0,43.08637168954292,38.642321943342694,1.0,0.0625
1.3026068E7,304.0,56.84981750545744,38.44911033362598,0.46,0.0625
1.3026069E7,280.0,67.97575568620319,37.72818951487049,0.35,0.0625
1.302607E7,274.0,70.92240240369489,36.737824540105144,0.29,0.0625
1.3026071E7,307.0,234.3308744085214,36.32452401402896,0.41,0.0625
1.3026072E7,325.0,47.7191428860018,36.142901393958816,0.46,0.0625
1.3026073E7,293.0,48.70624604289196,35.82665100676167,0.43,0.0625
1.3026074E7,274.0,51.47205382257495,35.87143432052012,0.51,0.0625
1.3026075E7,302.0,55.14015695585618,35.64723785601687,0.45,0.0625
1.3026076E7,316.0,47.342324341434136,37.073127370257545,0.82,0.0625
1.3026077E7,324.0,54.15696744763304,36.37800623206522,0.35,0.0625
1.3026078E7,281.0,65.06738283519604,35.24119353731318,0.25,0.0625
1.3026079E7,327.0,40.416306084723736,37.44376813339525,1.0,0.0625
1.302608E7,291.0,50.00515659075505,36.6480880605606,0.33,0.0625
1.3026081E7,288.0,53.097414379267896,35.96093640942509,0.35,0.0625
