block,n,f,b,g,d
1.30255E7,285.0,45.83229050287815,30.749999999999996,1.0,0.025
1.3025501E7,306.0,49.71950199360705,31.518749999999994,1.0,0.025
1.3025502E7,310.0,47.478132254551,32.30671874999999,1.0,0.025
1.3025503E7,319.0,44.1831705659152,33.114386718749984,1.0,0.025
1.3025504E7,290.0,44.63077999553931,34.77010605468748,1.0,0.05
1.3025505E7,283.0,51.229910258327884,37.37786400878904,1.0,0.07500000000000001
1.3025506E7,296.0,44.983961508758796,41.11565040966795,1.0,0.1
1.3025507E7,299.0,54.298735024731876,38.85428963713621,0.28,0.125
1.3025508E7,339.0,44.66767124038961,44.68243308270664,1.0,0.15
1.3025509E7,300.0,59.656054284014225,42.33660534586454,0.35,0.175
1.302551E7,298.0,59.079171624332396,40.4737947106465,0.39,0.19999999999999998
1.3025511E7,280.0,67.95693686487839,38.652473948667414,0.4,0.22499999999999998
1.3025512E7,302.0,46.292943963214775,46.91444025519507,1.0,0.21374999999999997
1.3025513E7,303.0,58.774313413083696,44.43753373887173,0.37,0.20306249999999995
1.3025514E7,264.0,75.28633024719329,40.66567032042458,0.28,0.19290937499999994
1.3025515E7,315.0,54.98489350395451,39.7713643692411,0.44,0.18326390624999994
1.3025516E7,303.0,70.14142982994302,37.00167524458541,0.3,0.17410071093749993
1.3025517E7,312.0,45.551157553946375,43.121592312248175,1.0,0.1653956753906249
1.3025518E7,277.0,58.57526184862518,41.224447092996854,0.36,0.15712589162109367
1.3025519E7,301.0,54.62823631175275,39.255308979150435,0.34,0.14926959704003898
1.302552E7,301.0,51.85718697113261,41.48196615729044,0.7,0.141806117188037
1.3025521E7,304.0,60.887060891647515,40.47607634654089,0.41,0.13471581132863517
1.3025522E7,294.0,59.478289051596406,38.92203761918004,0.35,0.1279800207622034
1.3025523E7,291.0,45.548074569433176,43.654218642659465,1.0,0.12158101972409323
1.3025524E7,320.0,62.28282849957959,43.0491608590265,0.44,0.11550196873788857
1.3025525E7,288.0,63.3336152871895,42.104430920997494,0.4,0.10972687030099414
1.3025526E7,299.0,59.36190306824406,41.05107378678297,0.38,0.10424052678594442
1.3025527E7,282.0,65.31256559912029,39.26237422409787,0.28,0.0990285004466472
1.3025528E7,307.0,45.60190945808326,41.99570433659928,0.87,0.09407707542431483
1.3025529E7,300.0,59.141587982590444,40.56945360758118,0.31,0.08937322165309908
1.302553E7,303.0,62.52321196326538,40.15610981184501,0.44,0.08490456057044413
1.3025531E7,313.0,57.90504123189884,39.05486170677781,0.33,0.08065933254192191
1.3025532E7,289.0,46.98469825880302,42.047493830674284,1.0,0.07662636591482581
1.3025533E7,295.0,57.023361127930116,41.1904560222875,0.36,0.07279504761908452
1.3025534E7,308.0,57.19142374871004,39.994070000457405,0.29,0.0691552952381303
1.3025535E7,299.0,58.250057121855264,39.04816581267703,0.32,0.06569753047622379
1.3025536E7,317.0,46.23408434025981,41.485265473020064,1.0,0.06241265395241259
